Instrument Type,Date,Segment,Commodity,Traded Contract(Lots),Total Value (Lacs),Avg Daily Turnover (Lacs)
FUTCOM,2020-01-01,ENERGY,CRUDEOIL,21689,94903.27,0.00
FUTCOM,2020-01-02,ENERGY,CRUDEOIL,339888,1481849.33,0.00
FUTCOM,2020-01-03,ENERGY,CRUDEOIL,532296,2413806.37,0.00
FUTCOM,2020-01-06,ENERGY,CRUDEOIL,427787,1963769.09,0.00
FUTCOM,2020-01-07,ENERGY,CRUDEOIL,355248,1600428.34,0.00
FUTCOM,2020-01-08,ENERGY,CRUDEOIL,641297,2844033.79,0.00
FUTCOM,2020-01-09,ENERGY,CRUDEOIL,455354,1933635.24,0.00
FUTCOM,2020-01-10,ENERGY,CRUDEOIL,368352,1551176.82,0.00
FUTCOM,2020-01-13,ENERGY,CRUDEOIL,340051,1413957.51,0.00
FUTCOM,2020-01-14,ENERGY,CRUDEOIL,339683,1402811.67,0.00
FUTCOM,2020-01-15,ENERGY,CRUDEOIL,316473,1298107.53,0.00
FUTCOM,2020-01-16,ENERGY,CRUDEOIL,325952,1345980.39,0.00
FUTCOM,2020-01-17,ENERGY,CRUDEOIL,286841,1195621.82,0.00
FUTCOM,2020-01-20,ENERGY,CRUDEOIL,199009,834686.09,0.00
FUTCOM,2020-01-21,ENERGY,CRUDEOIL,294485,1222506.89,0.00
FUTCOM,2020-01-22,ENERGY,CRUDEOIL,339573,1390830.50,0.00
FUTCOM,2020-01-23,ENERGY,CRUDEOIL,379465,1503305.20,0.00
FUTCOM,2020-01-24,ENERGY,CRUDEOIL,365807,1435388.26,0.00
FUTCOM,2020-01-27,ENERGY,CRUDEOIL,442575,1673018.56,0.00
FUTCOM,2020-01-28,ENERGY,CRUDEOIL,427226,1625792.51,0.00
FUTCOM,2020-01-29,ENERGY,CRUDEOIL,411590,1577891.11,0.00
FUTCOM,2020-01-30,ENERGY,CRUDEOIL,403222,1512177.37,0.00
FUTCOM,2020-01-31,ENERGY,CRUDEOIL,486278,1816467.07,0.00
FUTCOM,2020-02-01,ENERGY,CRUDEOIL,20324,74741.67,0.00
FUTCOM,2020-02-03,ENERGY,CRUDEOIL,566581,2076613.38,0.00
FUTCOM,2020-02-04,ENERGY,CRUDEOIL,580187,2101216.42,0.00
FUTCOM,2020-02-05,ENERGY,CRUDEOIL,566274,2059443.41,0.00
FUTCOM,2020-02-06,ENERGY,CRUDEOIL,557957,2035676.09,0.00
FUTCOM,2020-02-07,ENERGY,CRUDEOIL,475646,1726627.48,0.00
FUTCOM,2020-02-10,ENERGY,CRUDEOIL,428044,1529875.99,0.00
FUTCOM,2020-02-11,ENERGY,CRUDEOIL,446169,1601646.40,0.00
FUTCOM,2020-02-12,ENERGY,CRUDEOIL,458706,1674061.31,0.00
FUTCOM,2020-02-13,ENERGY,CRUDEOIL,488510,1787010.62,0.00
FUTCOM,2020-02-14,ENERGY,CRUDEOIL,438950,1628984.54,0.00
FUTCOM,2020-02-17,ENERGY,CRUDEOIL,234467,872877.98,0.00
FUTCOM,2020-02-18,ENERGY,CRUDEOIL,480006,1764337.88,0.00
FUTCOM,2020-02-19,ENERGY,CRUDEOIL,439466,1662418.65,0.00
FUTCOM,2020-02-20,ENERGY,CRUDEOIL,447410,1739285.63,0.00
FUTCOM,2020-02-21,ENERGY,CRUDEOIL,299672,1147858.50,0.00
